"ProgramName","DisplayVersion"
"7-Zip 19.00 (x64)","19.00"
"ShareX","14.1.0"
"Microsoft Access 2016 - pt-br","16.0.15629.20070"
"Apache NetBeans version 15","15"
"Docker Desktop","4.12.0"
"Autodesk DWG TrueView 2018 - English","22.0.50.0"
"Git","2.41.0"
"GPL Ghostscript","9.56.1"
"ImageMagick 7.1.0-61 Q16-HDRI (64-bit) (2023-02-05)","7.1.0.61"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60724"
"Pacote de Idiomas do Microsoft Visual Studio 2010 Tools for Office Runtime (x64) - Portugu?s (Brasil)","10.0.60724"
"Mozilla Firefox ESR (x64 pt-BR)","91.10.0"
"Mozilla Maintenance Service","91.10.0"
"Apache NetBeans IDE 12.0","12.0"
"Microsoft 365 Apps para Grandes Empresas - pt-br","16.0.15629.20070"
"QEMU","8.0.2"
"Sublime Text 3",
"Tesseract-OCR - open source OCR engine","v5.3.0.20221214"
"USBPcap 1.5.4.0","1.5.4.0"
"VcXsrv","1.20.14.0"
"VLC media player","3.0.18"
"WinMerge 2.16.9.0 x64","2.16.9.0"
"IIS 10.0 Express","10.0.04403"
"Microsoft .NET AppHost Pack - 5.0.7 (x64_x86)","40.28.30105"
"PI JDBC 2016 SP1 (x64)","1.5.17051.1"
"OSIsoft MS Runtime Redistributables x64","3.1.1"
"PuTTY release 0.75 (64-bit)","0.75.0.0"
"PowerToys (Preview)","0.29.3"
"IIS Express Application Compatibility Database for x64",
"Python 3.10.7 Standard Library (64-bit)","3.10.7150.0"
"Python 3.10.7 Test Suite (64-bit)","3.10.7150.0"
"Microsoft .NET Runtime - 6.0.9 (x64)","48.39.47157"
"Go Programming Language amd64 go1.19.1","1.19.1"
"Microsoft Web Deploy 4.0","10.0.5923"
"Application Verifier x64 External Package","10.1.18362.1"
"Microsoft .NET Host - 5.0.7 (x64)","40.28.30105"
"Workflow Manager Tools 1.0 for Visual Studio","2.1.50623.2"
"Workflow Manager Client 1.0","2.1.10525.2"
"Microsoft .NET Core AppHost Pack - 3.1.29 (x64_arm)","24.116.31617"
"IntelliTraceProfilerProxy","15.0.18198.01"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219"
"Microsoft .NET Core AppHost Pack - 3.1.16 (x64)","24.64.30112"
"DiagnosticsHub_CollectionService","16.1.28901"
"Warsaw 2.29.0.10 64 bits","2.29.0.10"
"7-Zip 22.01 (x64 edition)","22.01.00.0"
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ","12.2.5000.0"
"Java 8 Update 271 (64-bit)","8.0.2710.9"
"Python 3.9.0 pip Bootstrap (64-bit)","3.9.150.0"
"Sup. Microsoft SQL Server 2014 RS para SharePoint ","12.2.5000.0"
"icecap_collection_x64","16.10.31306"
"DWG TrueView 2018 - English","22.0.50.0"
"Microsoft .NET Core Runtime - 3.1.29 (x64)","24.116.31617"
"PI Software Development Kit (PI SDK) x64","1.4.6.494"
"PI DataLink 2016 x64","5.3.0.0"
"Python 3.10.7 pip Bootstrap (64-bit)","3.10.7150.0"
"Microsoft .NET Core Targeting Pack - 3.1.0 (x64)","24.64.28315"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.32.31332","14.32.31332"
"Microsoft .NET Targeting Pack - 5.0.0 (x64)","40.0.29419"
"Python 3.9.0 Utility Scripts (64-bit)","3.9.150.0"
"Python 3.9.0 Documentation (64-bit)","3.9.150.0"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030"
"Servi?o de Linguagem T-SQL do Microsoft SQL Server 2014 ","12.2.5000.0"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_arm)","40.68.31213"
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","40.68.31219"
"Microsoft .NET Core AppHost Pack - 3.1.29 (x64_x86)","24.116.31617"
"Microsoft .NET Core AppHost Pack - 3.1.29 (x64)","24.116.31617"
"Microsoft ASP.NET Core 2.1.30 Shared Framework (x64)","2.1.30.60071"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359"
"Python 3.9.0 Standard Library (64-bit)","3.9.150.0"
"Microsoft .NET Core AppHost Pack - 3.1.16 (x64_arm64)","24.64.30112"
"Python 3.9.0 Tcl/Tk Support (64-bit)","3.9.150.0"
"Microsoft ASP.NET Core 3.1.29 Shared Framework (x64)","3.1.29.22418"
"PI Network Subsystem","3.4.410.1194"
"Microsoft ASP.NET Core 6.0.9 Shared Framework (x64)","6.0.9.22419"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148","9.0.30729.4148"
"PI AF Client 2018 SP3 Patch 3","2.10.9.593"
"Python 3.9.0 Add to Path (64-bit)","3.9.150.0"
"Python 3.10.7 Documentation (64-bit)","3.10.7150.0"
"Microsoft SQL Server 2014 ADOMD.NET ","12.2.5000.0"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660","12.0.40660"
"Python 3.10.7 Add to Path (64-bit)","3.10.7150.0"
"Microsoft .NET SDK 5.0.412 (x64) from Visual Studio","5.4.1222.41516"
"Microsoft .NET Runtime - 5.0.17 (x64)","40.68.31213"
"Microsoft .NET Toolset 5.0.412 (x64)","20.7.13836"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161"
"Oracle VM VirtualBox 6.1.38","6.1.38"
"Java SE Development Kit 8 Update 261 (64-bit)","8.0.2610.12"
"Microsoft Policy Platform","68.1.1010.0"
"Microsoft ASP.NET Core 3.1.16 Shared Framework (x64)","3.1.16.21263"
"Supervisor de Atualiza??o do Microsoft SQL Server 2014 ","12.2.5000.0"
"Workflow Manager Client 1.0","2.1.10525.2"
"Active Directory Authentication Library for SQL Server","15.0.1300.359"
"Microsoft Visual Studio Installer","2.11.13.53049"
"Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)","24.64.28315"
"vs_Graphics_Singletonx64","16.10.31213"
"Obj. de Gerenciamento de An?lise do Microsoft SQL Server 2014 ","12.2.5000.0"
"Google Chrome","114.0.5735.199"
"Microsoft .NET Core 3.1 Templates 5.0.412 (x64)","12.23.30220"
"Python 3.10.7 Tcl/Tk Support (64-bit)","3.10.7150.0"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60729"
"PI DataLink MUI (x64) 2016","5.3.0.125"
"Microsoft .NET Core 5.0 Templates 5.0.412 (x64)","20.5.30220"
"Microsoft .NET Host FX Resolver - 5.0.7 (x64)","40.28.30105"
"Microsoft ASP.NET Core 5.0.0 Targeting Pack (x64)","5.0.0.20526"
"Microsoft .NET AppHost Pack - 5.0.17 (x64)","40.68.31213"
"Microsoft .NET Core AppHost Pack - 3.1.29 (x64_arm64)","24.116.31617"
"Microsoft Windows Desktop Runtime - 3.1.16 (x64)","24.64.30112"
"Microsoft .NET SDK 5.0.301 (x64) from Visual Studio","5.3.121.27113"
"JabRef","5.7.60000"
"Microsoft SSBEA para SQL Server 2014","12.2.5000.0"
"Application Verifier x64 External Package","10.1.19041.685"
"Microsoft System CLR Types for SQL Server 2019 CTP2.2","15.0.1200.24"
"Microsoft ODBC Driver 17 for SQL Server","17.2.0.1"
"Microsoft .NET Toolset 5.0.301 (x64)","20.3.30505"
"Microsoft Office 64-bit Components 2013","15.0.4569.1506"
"Microsoft Office Shared 64-bit MUI (Portuguese (Brazil)) 2013","15.0.4420.1017"
"Microsoft Office Shared 64-bit MUI (Portuguese (Portugal)) 2013","15.0.4433.1507"
"Office 16 Click-to-Run Licensing Component","16.0.15629.20156"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.15629.20118"
"Microsoft Azure Authoring Tools - v2.9.7","2.9.8999.45"
"Microsoft SQL Server 2016 LocalDB ","13.1.4001.0"
"Python 3.9.0 Test Suite (64-bit)","3.9.150.0"
"Configuration Manager Client","5.00.9078.1000"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - PTB","10.0.60724"
"Microsoft .NET Core Runtime - 2.1.30 (x64)","16.120.30411"
"Microsoft .NET Runtime - 5.0.7 (x64)","40.28.30105"
"Python 3.9.0 Core Interpreter (64-bit)","3.9.150.0"
"Workflow Manager Tools 1.0 for Visual Studio","2.1.50623.2"
"Local Administrator Password Solution","6.2.0.0"
"Microsoft .NET Core AppHost Pack - 3.1.16 (x64_arm)","24.64.30112"
"PDF-Viewer","2.5.322.10"
"VS Script Debugging Common","16.0.102.0"
"Microsoft .NET AppHost Pack - 5.0.7 (x64_arm64)","40.28.30105"
"Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30139","14.29.30139"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.23.18001"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_x86)","40.68.31213"
"VirtViewer 7.0-256 (64-bit)","7.0.256"
"Python 3.9.0 Executables (64-bit)","3.9.150.0"
"Microsoft SQL Server 2014 PowerPivot para SharePoint 2013 ","12.2.5000.0"
"IIS Express Application Compatibility Database for x86",
"NVIDIA Ansel","7.0.600.612"
"Painel de controle da NVIDIA 452.39","452.39"
"NVIDIA Driver de gr?ficos 452.39","452.39"
"NVIDIA Quadro View 200.93","200.93"
"NVIDIA WMI 2.35.0","2.35.0"
"NVIDIA Driver de ?udio HD 1.3.38.34","1.3.38.34"
"NVIDIA Install Application","2.1002.346.0"
"NVIDIA Display Container","1.25"
"NVIDIA Display Container LS","1.25"
"NVIDIA Display Watchdog Plugin","1.25"
"NVIDIA Display Session Container","1.25"
"Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)","40.0.29420"
"Microsoft .NET Core 3.1 Templates 5.0.301 (x64)","12.23.30505"
"Microsoft .NET Core AppHost Pack - 3.1.16 (x64_x86)","24.64.30112"
"Microsoft .NET AppHost Pack - 5.0.7 (x64)","40.28.30105"
"Extens?es do Windows PowerShell para SQL Server 2014 ","12.2.5000.0"
"Microsoft Windows Desktop Runtime - 6.0.9 (x64)","48.39.47171"
"Microsoft ASP.NET Core 5.0.17 Shared Framework (x64)","5.0.17.22215"
"Microsoft .NET Host - 6.0.9 (x64)","48.39.47157"
"Microsoft Azure Libraries for .NET ? v2.9","3.0.0127.060"
"Microsoft .NET Core 5.0 Templates 5.0.301 (x64)","20.3.63273"
"Microsoft SQL Server 2008 Native Client","10.0.1600.22"
"VS JIT Debugger","16.0.102.0"
"Python 3.10.7 Development Libraries (64-bit)","3.10.7150.0"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660","12.0.40660"
"Universal CRT Tools x64","10.1.19041.685"
"Python 3.10.7 Executables (64-bit)","3.10.7150.0"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030"
"Windows App Certification Kit Native Components","10.1.19041.685"
"Python 3.10.7 Core Interpreter (64-bit)","3.10.7150.0"
"Microsoft .NET Core 2.1 Templates 5.0.412 (x64)","8.29.62988"
"Microsoft Windows Desktop Runtime - 3.1.29 (x64)","24.116.31617"
"Microsoft Windows Desktop Runtime - 5.0.7 (x64)","40.28.30113"
"Microsoft SQL Server 2008 Management Objects","10.0.1600.22"
"Microsoft ASP.NET Core 5.0.7 Shared Framework (x64)","5.0.7.21263"
"Microsoft .NET Core Runtime - 3.1.16 (x64)","24.64.30112"
"Python 3.10.7 Utility Scripts (64-bit)","3.10.7150.0"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_arm64)","40.68.31213"
"Microsoft AS OLE DB Provider para SQL Server 2014","12.2.5000.0"
"Java(TM) SE Development Kit 15.0.1 (64-bit)","15.0.1.0"
"Python 3.9.0 Development Libraries (64-bit)","3.9.150.0"
"Microsoft StreamInsight 2.3 (x64) (pt-BR)","23.0.1000.8"
"Microsoft .NET AppHost Pack - 5.0.7 (x64_arm)","40.28.30105"
"Microsoft Visual Studio Code","1.80.1"
"Windows SDK DirectX x64 Remote","10.1.19041.685"
"Neovim","0.9.1"
"Microsoft SQL Server 2014 Management Objects (x64)","12.2.5000.0"
"PDFsam Basic","4.3.4.0"
"Microsoft System CLR Types para SQL Server 2014 (x64)","12.2.5000.0"
"Provedor Microsoft OLE DB para DB2 Vers?o 6.0","10.0.2382.0"
"Google Earth Pro","7.3.6.9345"
"SQL Server System CLR Types","10.0.1600.22"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.32.31332","14.32.31332"
"Node.js","16.17.0"
"Windows Subsystem for Linux Update","5.10.102.1"
"PI Buffer Subsystem","4.7.0.25"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0"
"Microsoft .NET Host FX Resolver - 6.0.9 (x64)","48.39.47157"
"Microsoft ASP.NET Core Module V2 for IIS Express","13.1.20087.0"
"Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)","3.1.10.20520"
"Serv. de Compilador Transact-SQL do Microsoft SQL Server 2014 ","12.2.5000.0"
"Ferramentas de Build do Visual Studio 2019 (2)","16.11.19"
"Trend Micro Apex One Security Agent","14.0.11840"
"Autodesk Design Review","14.0.0.177"
"Cisco AnyConnect Secure Mobility Client ","4.10.06079"
"Citrix Workspace 2106","21.6.0.47"
"Embarcadero Dev-C++","6.3"
"Visual Studio Community 2019","16.10.3"
"Foxit PDF Reader","12.0.1.12430"
"HandBrake 1.6.1","1.6.1"
"Microsoft Edge","114.0.1823.82"
"Microsoft Edge Update","1.3.177.11"
"Microsoft Edge WebView2 Runtime","114.0.1823.82"
"Notepad++ (32-bit x86)","8.5.3"
"Npcap","1.31"
"Microsoft Project Professional 2013","15.0.4569.1506"
"Microsoft Visio Professional 2013","15.0.4420.1017"
"PI Software Development Kit (PI SDK) x86 2016","1.4.6.494"
"PI Software Development Kit (PI SDK) x64 2016","1.4.6.494"
"SNC Client Encryption 2.0","2.0.0.1"
"SAP GUI for Windows 7.50  (Patch 11)","7.50 Compilation 2"
"Componente de Seguran?a Bradesco","1.0.0"
"WinMerge 2.16.30.0","2.16.30.0"
"Wireshark 4.0.5 64-bit","4.0.5"
"PI DataLink 2016 x86","5.3.0.0"
"Visual C++ Compiler/Tools X86 ARM Cross Resource Package","14.0.24245"
"PI DataLink MUI (x86) 2016","5.3.0.125"
"Visual C++ Library MFC X64 Package","14.0.24245"
"Universal CRT Redistributable","10.0.26624"
"Visual C++ Compiler/Tools Premium X64 Native Resource Package","14.0.24245"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501","12.0.30501.0"
"vs_FileTracker_Singleton","16.10.31303"
"Windows Espc Package","14.0.24245"
"Microsoft Windows Desktop Runtime - 3.1.29 (x86)","24.116.31617"
"Windows SDK Desktop Tools arm64","10.1.19041.685"
"Microsoft ASP.NET Core 3.1.16 Shared Framework (x86)","3.1.16.21263"
"Visual C++ Library ATL X64 Package","14.0.24245"
"Microsoft Visual Studio Setup WMI Provider","2.11.65.22356"
"Visual C++ Compiler/Tools X64 X86 Cross Resource Package","14.0.24245"
"Windows IoT Extension SDK","10.1.19041.685"
"Cisco AnyConnect Diagnostics and Reporting Tool","4.10.06079"
"Visual C++ Compiler/Tools X86 X64 Cross Package","14.0.24245"
"vs_minshellmsires","16.10.31303"
"vcpp_crt.redist.clickonce","14.29.30139"
"Microsoft .NET Runtime - 6.0.9 (x86)","48.39.47157"
"Visual C++ Compiler/Tools Premium X64 ARM Cross Resource Package","14.0.24245"
"Microsoft TestPlatform SDK Local Feed","16.9.0.4315479"
"WinRT Intellisense UAP - en-us","10.1.19041.685"
"Extens?es do Windows PowerShell para SQL Server 2014 ","12.2.5000.0"
"Servi?o de Linguagem T-SQL do Microsoft SQL Server 2014 ","12.2.5000.0"
"Microsoft Windows Desktop Runtime - 5.0.17 (x86)","40.68.31219"
"Windows Simulator - ENU","16.0.28522"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.19041.685"
"Visual C++ Compiler/Tools X86 Native Resource Package","14.0.24245"
"vs_filehandler_amd64","16.11.31503"
"icecap_collection_neutral","16.10.31306"
"Visual C++ Library PGO Headers Package","14.0.24245"
"Windows Software Development Kit - Windows 10.0.18362.1","10.1.18362.1"
"Microsoft .NET CoreRuntime SDK","1.1.27004.0"
"Universal CRT Extension SDK","10.1.18362.1"
"Autodesk Design Review","14.0.0.177"
"Visual C++ Library CRT Desktop Appx Package","14.29.30133"
"PI Language Settings Tool 2012","1.1.2"
"Windows Mobile Extension SDK Contracts","10.1.18362.1"
"WinRT Intellisense PPI - en-us","10.1.19041.685"
"Microsoft ASP.NET Web Tools Packages 16.0 - PTB","1.0.21125.0"
"Windows SDK Desktop Libs arm64","10.1.18362.1"
" Tools for .Net 3.5","3.11.50727"
"Windows SDK Desktop Libs x64","10.1.19041.685"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062"
"Visual C++ Compiler/Tools X64 Native Resource Package","14.0.24245"
"Visual C++ Compiler/Tools X64 Base Resource Package","14.0.24245"
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack","4.5.51651"
"Power Automate for desktop","2.29.00127.23042"
"Visual C++ Library CRT Appx Package","14.29.30133"
"Visual C++ MSBuild Base Resource Package","14.0.24245"
"Windows SDK Desktop Tools x86","10.1.19041.685"
"sptools_Microsoft.VisualStudio.Vsto.Msi.Resources","16.0.28030"
"Visual C++ Compiler/Tools Premium X64 X86 Cross Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X64 Base Resource Package","14.0.24245"
"Visual C++ MSBuild X64 Package","14.0.24245"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148"
"Visual C++ Compiler/Tools Premium X64 ARM Cross Package","14.0.24245"
"Windows SDK for Windows Store Apps Libs","10.1.19041.685"
"Universal CRT Extension SDK","10.0.26624"
"Windows SDK ARM Desktop Tools","10.1.18362.1"
"Windows SDK Modern Versioned Developer Tools","10.1.18362.1"
"WinRT Intellisense IoT - Other Languages","10.1.19041.685"
"Windows SDK for Windows Store Apps Libs","10.1.18362.1"
"Windows SDK Desktop Libs x86","10.1.18362.1"
"Microsoft Windows Desktop Runtime - 3.1.16 (x86)","24.64.30112"
"Microsoft Exchange Web Services Managed API 2.1","15.0.847.30"
"WinRT Intellisense UAP - Other Languages","10.1.18362.1"
"Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package","14.0.24245"
"sptools_Microsoft.VisualStudio.OfficeDeveloperTools.Msi","16.0.29931"
"Microsoft .NET Host FX Resolver - 5.0.7 (x86)","40.28.30105"
"Windows App Certification Kit SupportedApiList x86","10.1.19041.685"
"vs_clickoncebootstrappermsires","16.0.28329"
"Visual C++ Compiler/Tools X86 Base Resource Package","14.0.24245"
"Visual C++ MSBuild Base Resource Package","14.0.24245"
"vs_vswebprotocolselectormsires","16.10.31206"
"Windows SDK for Windows Store Apps Contracts","10.1.19041.685"
"Visual C++ Library CRT Redist Resource Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X86 Native Package","14.0.24245"
"Windows SDK Desktop Libs arm","10.1.19041.685"
"WinAppDeploy","10.1.19041.685"
"Obj. de Gerenciamento de An?lise do Microsoft SQL Server 2014 ","12.2.5000.0"
"Microsoft .NET Framework 4.6 Targeting Pack","4.6.00081"
"Windows SDK for Windows Store Apps Metadata","10.1.19041.685"
"Windows SDK Facade Windows WinMD Versioned","10.1.19041.685"
"Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package","14.0.24245"
"Windows SDK Desktop Tools arm64","10.1.18362.1"
"Visual C++ Compiler/Tools Premium ARM Base Resource Package","14.0.24245"
"vs_communitymsires","16.10.31213"
"Windows Mobile Extension SDK","10.1.18362.1"
"vs_clickoncesigntoolmsi","16.0.28329"
"Windows SDK DirectX x86 Remote","10.1.19041.685"
"WinRT Intellisense IoT - en-us","10.1.19041.685"
"Microsoft .NET Runtime - 5.0.7 (x86)","40.28.30105"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0"
"Visual C++ Library CRT ARM Desktop Package","14.0.24245"
"Microsoft Visual C++ 2019 X86 Debug Runtime - 14.29.30139","14.29.30139"
"Visual C++ Compiler/Tools Premium X86 Native Resource Package","14.0.24245"
"WinRT Intellisense IoT - en-us","10.1.18362.1"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.32.31332","14.32.31332.0"
"vs_communitymsires","16.10.31213"
"Microsoft SQL Server 2014 Management Objects ","12.2.5000.0"
"Citrix WorkSpace Browser","21.6.0.3"
"icecap_collectionresourcesx64","16.10.31306"
"Teams Machine-Wide Installer","1.3.0.28779"
"Windows Desktop Extension SDK Contracts","10.1.18362.1"
"Visual C++ Compiler/Tools Premium X64 X86 Cross Resource Package","14.0.24245"
"Visual C++ MSBuild X86 Package","14.0.24245"
"Visual C++ Compiler/Tools X86 X64 Cross Resource Package","14.0.24245"
"Visual C++ MSBuild ARM Package","14.0.24245"
"Windows IoT Extension SDK Contracts","10.1.18362.1"
"sptools_Microsoft.VisualStudio.Vsto.Msi.Resources","16.0.28030"
"Visual C++ Library CRT X86 OneCore For Desktop Package","14.0.24245"
"Windows SDK Desktop Headers x86","10.1.19041.685"
"Windows SDK Desktop Headers arm","10.1.18362.1"
"Open XML SDK 2.5 for Microsoft Office","2.5.5631"
" Tools for .Net 3.5 - ESN Lang Pack","3.11.50727"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.19041.685"
"Windows SDK Redistributables","10.1.19041.685"
"WinRT Intellisense Mobile - en-us","10.1.19041.685"
"Windows SDK Desktop Headers arm64","10.1.18362.1"
"Windows Software Development Kit - Windows 10.0.19041.685","10.1.19041.685"
"Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package","14.0.24245"
"Visual C++ MSBuild Base Resource Package","14.0.24245"
"Microsoft .NET CoreRuntime For CoreCon","1.0.0.0"
"Visual C++ Compiler/Tools X64 Native Resource Package","14.0.24245"
"Windows IoT Extension SDK Contracts","10.1.19041.685"
"Microsoft ASP.NET Web Tools Packages 16.0 - ENU","1.0.21125.0"
