"ProgramName","DisplayVersion"
"Microsoft HTML Help Workshop Package","4.74.8702"
"Java Auto Updater","2.8.271.9"
"Visual C++ Compiler/Tools Premium X86 Base Package","14.0.24245"
"Windows SDK for Windows Store Apps Tools","10.1.19041.685"
"Pacote de Direcionamento do Microsoft .NET Framework 4.7.2 (Portugu?s (Brasil))","4.7.03062"
"Windows SDK Desktop Headers arm","10.1.19041.685"
"Windows SDK Signing Tools","10.1.18362.1"
"Visual C++ Library ATL ARM Package","14.0.24245"
"Citrix Web Helper","21.6.0.16"
"Visual C++ Compiler/Tools Premium X86 Native Resource Package","14.0.24245"
"Citrix Screen Casting for Windows","19.11.100.48"
"Universal CRT Extension SDK","10.1.19041.685"
"Visual C++ Library CRT Source Package","14.0.24245"
"Visual C++ Library CRT X86 Redist Package","14.0.24245"
"Visual C++ Compiler/Tools X86 ARM Cross Resource Package","14.0.24245"
"Visual C++ Compiler/Tools X64 ARM Cross Resource Package","14.0.24245"
"Visual C++ MSBuild Base Package","14.0.24245"
"vs_minshellmsi","16.11.31503"
"Windows SDK Desktop Tools x86","10.1.18362.1"
"Windows SDK Desktop Libs x64","10.1.18362.1"
"Visual C++ Compiler/Tools Premium ARM Base Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X64 Native Package","14.0.24245"
"Microsoft .NET Framework 4.5 Multi-Targeting Pack","4.5.50710"
"Visual C++ Library CRT ARM OneCore For Desktop Package","14.0.24245"
"PI Software Development Kit (PI SDK) x86","1.4.6.494"
"Microsoft .NET Runtime - 5.0.17 (x86)","40.68.31213"
"Microsoft .NET Framework 4.8 SDK (espa?ol)","4.8.03761"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.04162"
"Visual C++ Extra Files","14.0.24245"
"Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X64 X86 Cross Resource Package","14.0.24245"
"Visual C++ Compiler/Tools X64 ARM Cross Resource Package","14.0.24245"
"Visual C++ Compiler/Tools X64 X86 Cross Resource Package","14.0.24245"
"Visual C++ Library PGO ARM Package","14.0.24245"
"vs_communitymsi","16.11.31911"
"Visual C++ Library CRT ARM Store Package","14.0.24245"
"Visual C++ Extra Resource Files","14.0.24245"
"Windows Team Extension SDK Contracts","10.1.18362.1"
"Citrix Workspace(USB)","21.6.0.31"
"Windows Espc Package","14.0.24245"
"Xamarin PCL Profiles v1.0.9","1.0.9.0"
"Windows SDK EULA","10.1.18362.1"
"Windows Team Extension SDK Contracts","10.1.19041.685"
"Windows SDK for Windows Store Apps Metadata","10.1.18362.1"
"Visual C++ Compiler/Tools Premium X64 Base Resource Package","14.0.24245"
"Google Update Helper","1.3.36.31"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660","12.0.40660.0"
"Visual C++ Library CRT ARM Redist Package","14.0.24245"
"Visual C++ Compiler/Tools X64 Native Package","14.0.24245"
"vs_vswebprotocolselectormsi","16.10.31206"
"Windows App Certification Kit x64","10.1.19041.685"
"Windows SDK for Windows Store Apps Headers","10.1.18362.1"
"vcpp_crt.redist.clickonce","14.29.30139"
"WinRT Intellisense PPI - en-us","10.1.18362.1"
"Visual C++ Library PGO X64 Package","14.0.24245"
"Microsoft ASP.NET Core 5.0.17 Shared Framework (x86)","5.0.17.22215"
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack","4.5.50932"
"Windows SDK Desktop Headers x64","10.1.18362.1"
"Foxit PDF Editor","12.0.1.12430"
"WinRT Intellisense IoT - Other Languages","10.1.18362.1"
"WinRT Intellisense UAP - en-us","10.1.18362.1"
"Universal CRT Headers Libraries and Sources","10.1.19041.685"
"vs_filehandler_x86","16.11.31503"
"Visual C++ Compiler/Tools X86 ARM Cross Package","14.0.24245"
"Visual C++ Library MFC X86 Package","14.0.24245"
"TypeScript SDK","4.3.5.0"
"Citrix Workspace(SSON)","21.6.0.13"
"Windows Team Extension SDK","10.1.18362.1"
"Universal General MIDI DLS Extension SDK","10.1.18362.1"
"vs_clickoncebootstrappermsi","16.10.31206"
"Online Plug-in","21.6.0.31"
"Windows Mobile Extension SDK","10.1.19041.685"
"Visual C++ Compiler/Tools Premium X64 X86 Cross Resource Package","14.0.24245"
"Microsoft System CLR Types for SQL Server 2019 CTP2.2","15.0.1200.24"
"Supervisor de Atualiza??o do Microsoft SQL Server 2014 ","12.2.5000.0"
"SDK ARM Redistributables","10.1.19041.685"
"Microsoft NetStandard SDK","15.0.51105"
"Visual C++ Library ATL Headers Package","14.0.24245"
"Visual C++ Library CRT X86 Desktop Package","14.0.24245"
"vcpp_crt.redist.clickonce","14.29.30139"
"Universal CRT Headers Libraries and Sources","10.1.18362.1"
"Visual C++ Compiler/Tools X86 X64 Cross Resource Package","14.0.24245"
"Cisco Jabber","12.9.1.53980"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu","16.0.28329.73"
"sptools_Microsoft.VisualStudio.Vsto.Msi.Resources","16.0.28030"
"Windows SDK Desktop Tools x64","10.1.18362.1"
"Visual C++ Compiler/Tools X64 Native Resource Package","14.0.24245"
"Visual C++ Library MFC MBCS Package","14.0.24245"
"Windows Mobile Extension SDK Contracts","10.1.19041.685"
"MSI Development Tools","10.1.19041.685"
"Visual C++ Library CRT Desktop Appx Package","14.29.30133"
"Visual C++ Compiler/Tools Premium X64 Base Resource Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package","14.0.24245"
"Windows SDK","10.1.19041.685"
"IntelliTraceProfilerProxy","15.0.18198.01"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660","12.0.40660"
"Windows SDK Desktop Libs x86","10.1.19041.685"
"WinRT Intellisense Desktop - Other Languages","10.1.18362.1"
"Visual C++ Compiler/Tools X64 Base Resource Package","14.0.24245"
"Universal CRT Redistributable","10.1.18362.1"
"DBComparer 3.0",
"Microsoft .NET Host FX Resolver - 6.0.9 (x86)","48.39.47157"
"Visual C++ Compiler/Tools X86 Base Resource Package","14.0.24245"
"Windows SDK Desktop Headers x86","10.1.18362.1"
"Microsoft .NET Core Runtime - 3.1.16 (x86)","24.64.30112"
"Citrix Workspace(DV)","21.6.0.31"
"WinRT Intellisense UAP - Other Languages","10.1.19041.685"
"vs_minshellinteropmsi","16.10.31306"
"Visual C++ Compiler/Tools X86 Native Resource Package","14.0.24245"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.32.31332","14.32.31332"
"Microsoft ASP.NET Core 6.0.9 Shared Framework (x86)","6.0.9.22419"
"Visual C++ Compiler/Tools X64 Base Resource Package","14.0.24245"
"Visual C++ Library CRT Appx Package","14.29.30133"
"IBM BigFix Client","9.5.11.191"
"Microsoft .NET Framework 4.6.1 Targeting Pack","4.6.01055"
"Universal CRT Headers Libraries and Sources","10.0.26624"
"Visual C++ Compiler/Tools Premium X86 Native Resource Package","14.0.24245"
"WinAppDeploy","10.1.18362.1"
"Windows SDK for Windows Store Apps Headers","10.1.19041.685"
"Visual C++ Compiler/Tools Premium X64 Base Package","14.0.24245"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.18362.1"
"windows_toolscorepkg","16.11.32406"
"Aplicativo desktop Cisco Webex Meetings","41.9.5.14"
"Visual C++ Library CRT X64 Desktop Package","14.0.24245"
"Microsoft Office Proofing Tools 2013 - English","15.0.4420.1017"
"Outils de v?rification linguistique 2013 de Microsoft Office?- Fran?ais","15.0.4420.1017"
"Revisores de Texto do Microsoft Office 2013 ? Portugu?s do Brasil","15.0.4420.1017"
"Ferramentas de Verifica??o do Microsoft Office 2013 - Portugu?s","15.0.4420.1017"
"Microsoft Office Proofing Tools 2013 - Espa?ol","15.0.4420.1017"
"Update for Microsoft Office 2013 (KB3178640) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3172545) 32-Bit Edition",
"Update for Microsoft Visio 2013 (KB5002343) 32-Bit Edition",
"Security Update for Microsoft Office 2013 (KB4462142) 32-Bit Edition",
"Update for Microsoft InfoPath 2013 (KB3114946) 32-Bit Edition",
"Security Update for Microsoft Project 2013 (KB4484450) 32-Bit Edition",
"Update for Microsoft OneNote 2013 (KB4011281) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3039756) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3178640) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3172545) 32-Bit Edition",
"Update for Microsoft Visio 2013 (KB5002343) 32-Bit Edition",
"Security Update for Microsoft Office 2013 (KB4462142) 32-Bit Edition",
"Update for Microsoft InfoPath 2013 (KB3114946) 32-Bit Edition",
"Security Update for Microsoft Project 2013 (KB4484450) 32-Bit Edition",
"Update for Microsoft OneNote 2013 (KB4011281) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3039756) 32-Bit Edition",
"Microsoft Office Proofing (Portuguese (Brazil)) 2013","15.0.4420.1017"
"Microsoft Office Proofing (Portuguese (Portugal)) 2013","15.0.4433.1507"
"Microsoft Project Professional 2013","15.0.4569.1506"
"Update for Microsoft Office 2013 (KB5002274) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3101503) 32-Bit Edition",
"Security Update for Microsoft Office 2013 (KB3191875) 32-Bit Edition",
"Security Update for Microsoft Office 2013 (KB4462205) 32-Bit Edition",
"Security Update for Microsoft Office 2013 (KB4462142) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3114488) 32-Bit Edition",
"Security Update for Microsoft Office 2013 (KB3039794) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB5002297) 32-Bit Edition",
"Security Update for Microsoft Office 2013 (KB4484108) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB4011155) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3085587) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3085565) 32-Bit Edition",
"Security Update for Microsoft Outlook 2013 (KB5002382) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3114499) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB5002151) 32-Bit Edition",
"Security Update for Microsoft Office 2013 (KB4018332) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB3023049) 32-Bit Edition",
"Update for Microsoft Office 2013 (KB4022212) 32-Bit Edition",
"Microsoft Visio Professional 2013","15.0.4420.1017"
"Microsoft Visio MUI (Portuguese (Brazil)) 2013","15.0.4420.1017"
"Microsoft Office Shared MUI (Portuguese (Brazil)) 2013","15.0.4420.1017"
"Microsoft Office Shared MUI (Portuguese (Portugal)) 2013","15.0.4433.1507"
"Microsoft Project MUI (Portuguese (Portugal)) 2013","15.0.4433.1507"
"Microsoft Office OSM MUI (Portuguese (Brazil)) 2013","15.0.4420.1017"
"Microsoft Office OSM MUI (Portuguese (Portugal)) 2013","15.0.4433.1507"
"Office 16 Click-to-Run Extensibility Component","16.0.15629.20118"
"Office 16 Click-to-Run Localization Component","16.0.15629.20118"
"Visual C++ Library CRT Appx Resource Package","14.29.30133"
"icecap_collectionresources","16.10.31306"
"WinRT Intellisense Mobile - en-us","10.1.18362.1"
"Windows SDK ARM Desktop Tools","10.1.19041.685"
"Microsoft .NET Framework 4.8 SDK","4.8.03928"
"Windows SDK Desktop Libs arm64","10.1.19041.685"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610","11.0.60610.1"
"Python Launcher","3.10.7917.0"
"Visual C++ Compiler/Tools X64 ARM Cross Resource Package","14.0.24245"
"Windows SDK Desktop Libs arm","10.1.18362.1"
"vs_SQLClickOnceBootstrappermsi","16.10.31205"
"vcpp_crt.redist.clickonce","14.29.30038"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161"
"SDK de Microsoft .NET Framework 4.7.2 (espa?ol)","4.7.03062"
"WinRT Intellisense PPI - Other Languages","10.1.18362.1"
"Visual C++ Library PGO X86 Package","14.0.24245"
"PI JDBC 2016 SP1","1.5.17051.1"
"Windows IoT Extension SDK","10.1.18362.1"
"Trend Micro Apex One Security Agent","14.0.11840"
"Visual C++ Compiler/Tools Premium X86 X64 Cross Package","14.0.24245"
"Visual C++ Library CRT X64 Redist Package","14.0.24245"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610","11.0.60610.1"
"vcpp_crt.redist.clickonce","14.29.30038"
"Windows Desktop Extension SDK Contracts","10.1.19041.685"
"Visual C++ Compiler/Tools X64 X86 Cross Package","14.0.24245"
"Visual C++ Library PGO X86 Package","14.0.24245"
"Windows SDK EULA","10.1.19041.685"
"Microsoft ASP.NET Core 3.1.29 Shared Framework (x86)","3.1.29.22418"
"Windows SDK for Windows Store Apps Tools","10.1.18362.1"
"Universal CRT Redistributable","10.1.19041.685"
"Windows SDK for Windows Store Apps","10.1.19041.685"
"Windows SDK Facade Windows WinMD Versioned","10.1.18362.1"
"IBM BigFix Remote Control - Target","9.1.4.0309"
"Visual C++ Library CRT Appx Resource Package","14.29.30133"
"Visual C++ Compiler/Tools Premium X86 Base Resource Package","14.0.24245"
"VS Immersive Activate Helper","16.0.102.0"
"Microsoft Windows Desktop Runtime - 5.0.7 (x86)","40.28.30113"
"Universal General MIDI DLS Extension SDK","10.1.19041.685"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.32.31332","14.32.31332.0"
"Visual C++ Compiler/Tools Premium ARM Base Resource Package","14.0.24245"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - esn","16.0.28329.73"
"Visual C++ Compiler/Tools X86 Base Package","14.0.24245"
"Microsoft Windows Desktop Runtime - 6.0.9 (x86)","48.39.47171"
"Adobe Reader XI (11.0.23)  MUI","11.0.23"
"vs_devenvmsi","16.0.28329"
"Microsoft SQL Server 2014 ADOMD.NET ","12.2.5000.0"
"Visual C++ Compiler/Tools X64 X86 Cross Resource Package","14.0.24245"
"Microsoft ASP.NET Core 5.0.7 Shared Framework (x86)","5.0.7.21263"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.32.31332","14.32.31332"
"Visual C++ Compiler/Tools X86 Native Resource Package","14.0.24245"
"SDK do Microsoft .NET Framework 4.8 (Portugu?s (Brasil))","4.8.03761"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030"
"Visual C++ Compiler/Tools X86 ARM Cross Resource Package","14.0.24245"
"Power Automate for desktop","2.29.127.23042"
"WinRT Intellisense Desktop - Other Languages","10.1.19041.685"
"PI ProcessBook MUI Language Pack 2015","3.5.0.41"
"Windows Desktop Extension SDK","10.1.18362.1"
"Visual C++ Library CRT ARM64 Appx Package","14.29.30133"
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","4.7.03062"
"Visual C++ Compiler/Tools X64 ARM Cross Package","14.0.24245"
"Visual C++ Library CRT X86 Store Package","14.0.24245"
"vs_BlendMsi","16.0.28329"
"Windows SDK Signing Tools","10.1.19041.685"
"Visual C++ Extra Resource Files","14.0.24245"
"Microsoft Portable Library Multi-Targeting Pack","16.0.28329.73"
"Visual C++ Compiler/Tools X86 Native Package","14.0.24245"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - ptb","16.0.28329.73"
"vs_minshellmsires","16.10.31303"
"Microsoft Visual Basic for Applications 7.1 (x86) English","7.1.0.0"
"Visual C++ Compiler/Tools X86 Base Package","14.0.24245"
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ","12.2.5000.0"
"WinRT Intellisense Desktop - en-us","10.1.19041.685"
"Universal CRT Tools x86","10.1.19041.685"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030"
"Visual C++ Compiler/Tools Premium X64 ARM Cross Resource Package","14.0.24245"
"Self-service Plug-in","21.6.0.16"
"Visual C++ Compiler/Tools Premium X86 Base Resource Package","14.0.24245"
"Microsoft UniversalWindowsPlatform SDK","15.9.14"
"Windows SDK for Windows Store Apps Contracts","10.1.18362.1"
"Microsoft Search in Bing","2.0.2"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","4.8.03761"
"TypeScript SDK","4.2.4.0"
"Visual C++ Library ATL X86 Package","14.0.24245"
"Visual C++ Library CRT Desktop Appx Package","14.29.30133"
"Visual C++ Compiler/Tools X64 Base Package","14.0.24245"
"PI Notifications 2012","1.2.1205.10"
"Visual C++ Library CRT X64 OneCore For Desktop Package","14.0.24245"
"Suplemento Microsoft SQL Server 2014 MDS para Excel ","12.2.5000.0"
"Windows SDK Desktop Headers x64","10.1.19041.685"
"Windows SDK Desktop Headers arm64","10.1.19041.685"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0"
"vs_communitymsires","16.10.31213"
"Visual C++ Compiler/Tools Premium X86 Base Resource Package","14.0.24245"
"Visual C++ Library MFC Source Package","14.0.24245"
"ConfigMgr Client Setup Bootstrap","5.00.9040.1000"
"Windows Team Extension SDK","10.1.19041.685"
"Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package","14.0.24245"
"Windows SDK for Windows Store Managed Apps Libs","10.1.18362.1"
"Microsoft .NET Framework 4 Multi-Targeting Pack","4.0.30319"
"Update for  (KB2504637)","1"
"DefaultPackMSI","4.6.2.0"
"PI ProcessBook 2015 R2 SP1","3.6.1.184"
"icecap_collectionresources","16.10.31306"
"icecap_collectionresourcesx64","16.10.31306"
"Windows Desktop Extension SDK","10.1.19041.685"
"sptools_Microsoft.VisualStudio.Vsto.Msi.x64","16.0.28030"
"Microsoft SSBEA para SQL Server 2014","12.2.5000.0"
"Visual C++ Library CRT ARM64 Appx Package","14.29.30038"
"IBM Notes 9.0.1 Social Edition pt_BR","9.01.13347"
"MSI Development Tools","10.1.18362.1"
"Visual C++ Compiler/Tools Premium ARM Base Resource Package","14.0.24245"
"Visual C++ Library CRT X64 Store Package","14.0.24245"
"SDK do Microsoft .NET Framework 4.7.2 SDK (Portugu?s (Brasil))","4.7.03062"
"Paquete de compatibilidad de Microsoft .NET Framework 4.7.2 (espa?ol)","4.7.03062"
"Visual C++ Compiler/Tools Premium X64 Native Resource Package","14.0.24245"
"Visual C++ Library MFC Headers Package","14.0.24245"
"Microsoft AS OLE DB Provider para SQL Server 2014","12.2.5000.0"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","16.10.526.50910"
"vs_tipsmsi","16.0.28329"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660","12.0.40660"
"Citrix Workspace Inside","21.6.0.17"
"vs_Graphics_Singletonx86","16.10.31213"
"Visual C++ Compiler/Tools Premium X64 ARM Cross Resource Package","14.0.24245"
"vs_minshellmsires","16.10.31303"
"Pacote IntelliSense Cumulativo do Microsoft .NET Framework para Visual Studio (Portugu?s do Brasil)","4.8.03761"
"Citrix Authentication Manager","21.6.0.1"
"WinRT Intellisense Desktop - en-us","10.1.18362.1"
"Visual C++ Compiler/Tools Premium X64 Native Resource Package","14.0.24245"
"Windows SDK AddOn","10.1.0.0"
"Kits Configuration Installer","10.1.19041.685"
"Visual Basic for Applications (R) Core - Portuguese (Brazil)","6.5.10.32"
"Visual C++ Compiler/Tools X86 Base Resource Package","14.0.24245"
"Windows Simulator","16.0.28522"
"Visual C++ Extra Resource Files","14.0.24245"
"Microsoft System CLR Types para SQL Server 2014","12.2.5000.0"
"Visual C++ Library ATL Source Package","14.0.24245"
"Windows Espc Package","14.0.24245"
"Visual C++ Library CRT Appx Resource Package","14.29.30133"
"Microsoft .NET Native SDK","15.0.24211.07"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660","12.0.40660.0"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219"
" Tools for .Net 3.5 - PTB Lang Pack","3.11.50727"
"Visual C++ Compiler/Tools Premium X86 ARM Cross Package","14.0.24245"
"Paquete acumulativo de Intellisense de Microsoft .NET Framework para Visual Studio (espa?ol)","4.8.03761"
"Microsoft Visual Studio Setup Configuration","2.11.65.22356"
"Microsoft .NET Core Runtime - 3.1.29 (x86)","24.116.31617"
"Visual C++ Compiler/Tools X86 X64 Cross Resource Package","14.0.24245"
"Microsoft .NET Framework 4.7.2 SDK","4.7.03081"
"Visual C++ CRT Headers Package","14.0.24245"
"Cisco AnyConnect Secure Mobility Client","4.10.06079"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0"
"sptools_Microsoft.VisualStudio.Vsto.Msi","16.0.28030"
"Windows Phone SDK 8.0 Assemblies for Visual Studio 2019","16.0.31306"
"Windows SDK Desktop Tools x64","10.1.19041.685"
"Windows SDK Modern Versioned Developer Tools","10.1.19041.685"
"SDK ARM Additions","10.1.19041.685"
"OSIsoft MS Runtime Redistributables","3.1.9"
"Windows Espc Package","14.0.24245"
"WinRT Intellisense PPI - Other Languages","10.1.19041.685"
"Windows SDK for Windows Store Managed Apps Libs","10.1.19041.685"
